"","b0","b1","b2","prev","ew","r2","auc","f1","r2.del","auc.del","f1.del","r2.diff","auc.diff","f1.diff","ew0"
"557",0.5,0.5,0.390923981554806,0.602,0.0249202302942298,0.0823917913635874,0.669077822762033,0.44794952681388,0.398711573468674,0.0430277319895521,0.18515794089771,0.0234863008204131,0.0276012807282158,0.0699834251189648,0.110660160683249
"558",0.5,0.5,0.299075594404712,0.6065,0.0216557024532408,0.0917044195398411,0.676364544361339,0.462357414448669,0.275090903647452,0.0315528991476797,0.0505879328308731,0.0197845122787065,0.0206884807099402,0.0222634442059128,0.133916711385564
"559",0.5,0.5,0.199776491848752,0.5985,0.00764174455189009,0.0601985468593571,0.640094600379898,0.4,0.104774060010711,0.0129095803194262,-0.00873015873015852,0.00570908241739376,0.00815803583675201,-0.0035228182546036,0.0994764573952091
"560",0.5,0.5,0.184183576377109,0.603,0.00608946499125619,0.0564841243134108,0.63948001832856,0.395869191049914,0.107388192402909,0.0111256089222055,0.0419057181105371,0.00547750829482518,0.00703632123913078,0.0159219614984626,0.0753148304590256
"561",0.5,0.5,0.748947103740647,0.6115,0.105857667438156,0.136468496386473,0.7140081637423,0.49814126394052,2.20299567337118,0.15374654783462,0.657451841838459,0.0938619772703112,0.0951476652364814,0.197594815853089,0.185680631370511
"562",0.5,0.5,0.319002879085019,0.6145,0.0373459601906777,0.101817920923718,0.685816408877639,0.449044585987261,0.537555527659853,0.0560811094699897,0.146142185631241,0.0355972745196924,0.0364189310439276,0.057256733121564,0.13898574872248
"563",0.5,0.5,0.448587712366134,0.641,0.0434283594964633,0.0910383639214271,0.681003272831683,0.30873786407767,0.768134643653492,0.0767483390234833,0.66830038601006,0.0395499977790643,0.0485404696391621,0.123676548581572,0.121544385704749
"564",0.5,0.5,0.333689443068579,0.5955,0.0158726626695052,0.0479912957992554,0.628376773985643,0.373720136518771,0.344010389598433,0.0247995463645196,0.191633349585568,0.0122837624567532,0.0152063483986957,0.0601000648341836,0.0709313533923681
"565",0.5,0.5,0.355890304315835,0.6235,0.0479742418267827,0.0747845604967634,0.659619486121034,0.412111017661901,1.12944391870269,0.0794698889510543,0.299097087284785,0.0396652695683016,0.0485607684369295,0.0948822118278077,0.100981750690813
"566",0.5,0.5,0.468032159842551,0.6025,0.0647870091020615,0.106604397856675,0.688911304742952,0.467348544453186,1.26194707765761,0.104974044137619,0.451931152149506,0.0594749141876448,0.0654475153463284,0.145467893458611,0.14183655303132
"567",0.5,0.5,0.269302623346448,0.6125,0.0210241751815052,0.053200223585367,0.634420893863618,0.402027027027027,0.491730468307695,0.0355327581381366,0.14507697996504,0.0175367946244231,0.021769204307904,0.0509353239702585,0.0758025308099243
"568",0.5,0.5,0.025340553605929,0.635,4.7112287490931e-05,0.0700325054919487,0.661069672403482,0.26937984496124,0.000597508360561436,0.000240359313609158,0.0145985401459854,4.18200197310759e-05,0.000158856070170743,0.00387596899224807,0.123646896975409
"569",0.5,0.5,0.883424629457295,0.6085,0.156408828899035,0.196456660010227,0.759747916666667,0.576295244854507,3.44331427531733,0.224753742145441,0.771632909319211,0.152242668418062,0.139420833333333,0.251004806963533,0.242942093678546
"570",0.5,0.5,0.960545667214319,0.603,0.160520529385201,0.193579417462803,0.758300293125942,0.562178072111847,4.60701593418135,0.249582929059549,0.648955468199722,0.159054918204167,0.151457581456819,0.221248263543023,0.218427253110404
"571",0.5,0.5,0.557475928682834,0.603,0.0596330844324642,0.0894610728225707,0.67881737388804,0.4446227929374,1.44633125553823,0.114791837980938,0.546074711805049,0.0528915883670046,0.0698988738051147,0.157041093590994,0.11869801783163
"572",0.5,0.5,0.913391537033021,0.594,0.140210163327404,0.152531874364695,0.728427438961267,0.566619915848527,3.97025808454791,0.197212726794636,0.583125551919381,0.12184295001308,0.119991341801219,0.208707736892438,0.197892080022999
"573",0.5,0.5,0.618507738225162,0.5865,0.0814994053042831,0.118306716818237,0.698893233246028,0.507352941176471,1.56062589815562,0.119329842161338,0.51671826625387,0.0721044516207117,0.0745078135769516,0.172845898922949,0.164117800547688
"574",0.5,0.5,0.145680398214608,0.6275,0.00582465154806622,0.0615372729592749,0.643410786384663,0.346153846153846,0.0961605431640323,0.00793009851886598,0.0284570920409071,0.00539834938367389,0.00506216743763199,0.00957797066746485,0.0779668577028278
"575",0.5,0.5,0.733513731509447,0.602,0.100492007351038,0.142129130728549,0.719682175718863,0.524686809137804,1.88736405698477,0.137847007814938,0.458885274188041,0.0929046034699491,0.087187498687631,0.165037686330787,0.182287156940129
"576",0.5,0.5,0.320338499732316,0.613,0.020918135500337,0.0842031416321107,0.670884073504914,0.406222990492653,0.329207779301907,0.0340374924945346,0.237898462152169,0.0208547750762561,0.0220835431813388,0.0780676506868282,0.101490740497997
"577",0.5,0.5,0.257443719310686,0.621,0.0119510940676478,0.0701796991848428,0.657354102392154,0.385777777777778,0.19915814678825,0.0215359918612447,0.113679532163743,0.0116555592515006,0.0138583199337691,0.0393785070394004,0.092504154940347
"578",0.5,0.5,0.857149213319644,0.605,0.14091961960013,0.180485874552987,0.751774891774892,0.571637426900585,3.81486998573842,0.224318333840596,1.18478092326777,0.143000776287077,0.137739415056488,0.309992233639931,0.206032766154191
"579",0.5,0.5,0.700308615574613,0.6155,0.107737574791006,0.135984078223989,0.712087389527543,0.493754592211609,2.03744046651761,0.142486615070414,0.623806024981631,0.0912147799536285,0.0888088494252109,0.189682194021564,0.196286939884805
"580",0.5,0.5,0.963068288750947,0.606,0.161262242266522,0.191466220460943,0.755831488533179,0.573781743308167,3.63395185173651,0.222360602907113,0.680360819688204,0.150148091445599,0.137493915532543,0.232318328674021,0.245268948916991
"581",0.5,0.5,0.896389294648543,0.6055,0.143734342156246,0.185477569945613,0.74824302665145,0.577142857142857,3.42644700862632,0.209258289215163,1.02374768089054,0.14357543724547,0.129481068743287,0.291957671957672,0.219877634345532
"582",0.5,0.5,0.838121791835874,0.6035,0.109487239608988,0.155826977849773,0.731748188261696,0.555059523809524,2.44649123201585,0.161004257324112,1.22964588377724,0.110613754498953,0.101476435470511,0.306114376130199,0.180706052160264
"583",0.5,0.5,0.318442157935351,0.6095,0.0280397752195999,0.0450754253853171,0.626184397073809,0.396761133603239,0.808836666326237,0.0475682185662645,0.280246681103474,0.0201558590007713,0.0284339250989861,0.0868512236933289,0.070791801938333
"584",0.5,0.5,0.938346933806315,0.611,0.167608809332496,0.190542401775606,0.758110799875506,0.564245810055866,4.0355379580078,0.239553807243508,0.78887987266315,0.152702869363266,0.14651104886399,0.248827307853223,0.249857234587614
"585",0.5,0.5,0.987933459226042,0.5945,0.155270809681226,0.217906741777097,0.770762841883532,0.626168224299065,2.74197210756931,0.198448427876719,0.699599465954606,0.159673613492599,0.12762891642202,0.257747171667487,0.270013238919439
"586",0.5,0.5,0.39632175071165,0.6285,0.0460629757068363,0.0934222293641723,0.678069333333333,0.395220588235294,0.938288027513204,0.0811937028873106,0.501225490196079,0.0452239079392437,0.0509205333333334,0.131955282112845,0.114359985243171
"587",0.5,0.5,0.183828187407926,0.6065,0.00748773470748241,0.0543938589134169,0.631858568819134,0.330241187384045,0.128395590931338,0.0133722810705911,0.065229195891217,0.00618925819486738,0.00833789372074045,0.0202222837923622,0.0809887518097444
"588",0.5,0.5,0.731547564035282,0.597,0.105390972417192,0.132374249468589,0.712824889890657,0.526090064331665,2.15801077527592,0.148837496598549,0.731455241138628,0.0904572773971357,0.092349938471355,0.222247347620316,0.19005013848589
"589",0.5,0.5,0.7887760726735,0.614,0.118017044921318,0.152753899598524,0.727478512519873,0.534883720930233,2.32080073148353,0.162202607332544,0.968003207698476,0.106754783135344,0.101530413685745,0.263093655325734,0.215757689567389
"590",0.5,0.5,0.712761574424803,0.606,0.107506241802791,0.15097783142538,0.729528039908413,0.517138599105812,2.04511813095829,0.16249104037803,0.721653969693885,0.101397544246876,0.101972201137236,0.216765464777454,0.199706651844027
"591",0.5,0.5,0.975435002008453,0.609,0.146736640200856,0.18415413821196,0.752394996708361,0.546637744034707,3.81594039859761,0.2257570193532,1.14350863408885,0.145915679474891,0.138574325213957,0.291617663713422,0.215171508516371
