"","Difference","Prevalence","R2","AUC","F1","IMV"
"684",0.568265025100867,0.0301,0.383926422633515,0.851776070550719,0.782842934106921,0.541505309676363
"685",0.73482492572911,0.0251,0.571256150294551,0.917207559738844,0.863599013968776,0.687308562805924
"686",0.258729227270793,0.0988,0.160270835217389,0.733698536987568,0.568283734203017,0.211788355435043
"687",0.250503283757509,0.0846,0.0995180364049206,0.684619525945257,0.539334741288279,0.162466155198254
"688",0.376339875575916,0.1062,0.198862696085853,0.761808024377857,0.759744513593187,0.234468357036104
"689",0.264361899336193,0.1322,0.128184753994518,0.713224308494689,0.493314456504641,0.144496954532484
"690",0.128780274450501,0.2028,0.0735450632574874,0.670007290583867,0.173076923076923,0.0573553567960076
"691",0.584642447441995,0.0605,0.397290767605041,0.859806304098303,0.773684210526316,0.475444075183171
"692",0.0167382153192781,0.0541,0.0494800347381463,0.627458203781641,0.451284870138793,0.126199538973365
"693",0.560624032422139,0.097,0.370529898444339,0.849649072492321,0.803598740440846,0.38373978767486
"694",0.171353885226682,0.1347,0.0915868442009051,0.67897298800794,0.7682570593963,0.107838995099965
"695",0.253000759355333,0.0842000000000001,0.1206599683605,0.70221278334938,0.534201954397394,0.189243209354687
"696",0.233692249737518,0.0554,0.175296622291244,0.740270312124642,0.737797767782775,0.294855124052793
"697",0.293926039180885,0.0921,0.125397194452495,0.707063199827391,0.565914721606468,0.18338419298184
"698",0.0812277884601328,0.3247,0.0637478054798197,0.685860563930627,0.903771202722731,0.0242542104784113
"699",0.291430612892182,0.172,0.169693141981279,0.750648183434959,0.489587139203507,0.141538336239729
"700",0.453315960862202,0.0499,0.266384355648597,0.797002819966984,0.757815373299007,0.395346900549306
"701",0.114823755544406,0.0291,0.0669772192204765,0.646517750786173,0.649651972157773,0.198140436771811
"702",0.215499759557807,0.0274,0.0772851980710151,0.660500830413766,0.653930530164534,0.218598549435829
"703",0.00054692798843653,0.3041,0.0617815168268425,0.672507965335136,0.891741691675003,0.0258578315128872
"704",0.352994514715046,0.1265,0.183576018075503,0.755270467344237,0.583711691259932,0.197164002092654
"705",0.485817100908389,0.1144,0.36419910079284,0.851459339611428,0.711464546056991,0.344281671848807
"706",0.263734633198983,0.0614,0.128719820906804,0.707918903802314,0.700686777362427,0.233092326154521
"707",0.237686310158793,0.1976,0.11870215662463,0.714477936068031,0.350344827586207,0.0905338284994354
"708",0.029989977972912,0.1763,0.0580723004338186,0.647822788326842,0.183026584867076,0.0544065694892603
"709",0.51185956214891,0.0384,0.30546772497113,0.81717915880161,0.76943223271911,0.456138779866576
"710",0.314144631191332,0.1532,0.182088835104601,0.757217373999778,0.519388954171563,0.168590443502822
"711",0.0321165836093072,0.016,0.0619587218748868,0.641267177589852,0.587203302373581,0.214730016352048
"712",0.490621378734827,0.0935,0.332897304266309,0.834429733345354,0.711965282083075,0.359338596843898
"713",0.208096144036981,0.1463,0.108229675252662,0.696137133622148,0.425616118006836,0.114029912804505
"714",0.33156374039754,0.00869999999999999,0.182430495408084,0.745488904220642,0.675178753830439,0.412302247877558
"715",0.626572830989769,0.0716,0.441300068505447,0.876853120534428,0.830309693971046,0.479703826252812
"716",0.299758125488207,0.019,0.160823392494362,0.731606319525395,0.694910435029855,0.356815619482978
"717",0.361428110879078,0.0409,0.189137156381174,0.750967101105602,0.675368778520641,0.341302640066427
"718",0.684418326644677,0.0834,0.509859170663199,0.899766232052048,0.853560314845323,0.496330721418101
"719",0.16204072456209,0.2003,0.0990099526244623,0.696332964884538,0.251604621309371,0.0785731487085385
"720",0.234989265048138,0.1354,0.204382921393619,0.758046641461506,0.558473332245963,0.199212092977793
"721",0.0894552629377252,0.0958,0.0497768977632689,0.629195976652666,0.730462065031375,0.0856168752458799
"722",0.577388403721091,0.0185,0.360713696498793,0.840991717661479,0.786349858218441,0.553663585824361
"723",0.082766314372843,0.0273,0.0573785716588253,0.6361126335386,0.62704309063893,0.183449701059829
"724",0.164199758502503,0.0592,0.070406564468787,0.652760522551013,0.678263778539767,0.156218636326097
"725",0.0329215467440455,0.0326,0.079339337619624,0.660948357907399,0.55609756097561,0.213344473360981
"726",0.367079785716516,0.0722,0.21678652863354,0.770848111477743,0.655407750144592,0.310491376513168
"727",0.0628194620632549,0.1828,0.0663742983105016,0.658618848211245,0.222557905337362,0.0589139075943022
