,V1,V2,V3,V4,V5
arthr 89,arthr,89,0.752370329,-0.0016878,1793
proxy 89,proxy,89,0.094956413,0.015776838,3212
dead 89,dead,89,0.255632937,0.022725531,2441
hibp 90,hibp,90,0.67131328,-0.000470146,1363
diab 90,diab,90,0.151880767,-0.000484777,1409
cancr 90,cancr,90,0.218259629,0.013373674,1402
lung 90,lung,90,0.088235294,-1.09E-05,1394
heart 90,heart,90,0.447598253,-0.008094378,1374
strok 90,strok,90,0.14368231,0.000167409,1385
psych 90,psych,90,0.115412186,0.002196398,1395
arthr 90,arthr,90,0.75620438,-0.001230358,1370
proxy 90,proxy,90,0.096436871,0.016061459,2582
dead 90,dead,90,0.288008028,0.032151155,1993
