,V1,V2,V3,V4,V5
diab 89,diab,89,0.154639175,0.000362253,1843
cancr 89,cancr,89,0.212039046,0.000831242,1844
lung 89,lung,89,0.093989071,-0.000220898,1830
heart 89,heart,89,0.447951274,-0.005672103,1806
strok 89,strok,89,0.141992295,-0.000140097,1817
psych 89,psych,89,0.111719606,0.000346542,1826
arthr 89,arthr,89,0.752370329,-0.000718844,1793
proxy 89,proxy,89,0.094956413,0.001890966,3212
dead 89,dead,89,0.255632937,-0.000135487,2441
hibp 90,hibp,90,0.67131328,0.000613946,1363
diab 90,diab,90,0.151880767,-0.000989968,1409
cancr 90,cancr,90,0.218259629,-0.001066138,1402
lung 90,lung,90,0.088235294,0.000482435,1394
heart 90,heart,90,0.447598253,0.001400556,1374
strok 90,strok,90,0.14368231,-0.00100619,1385
psych 90,psych,90,0.115412186,0.001929329,1395
arthr 90,arthr,90,0.75620438,0.002430538,1370
proxy 90,proxy,90,0.096436871,0.000623188,2582
dead 90,dead,90,0.288008028,0.000244696,1993
