"","b0","b1","b2","prev","ew","r2","auc","f1"
"721",0.443261875305325,0.411097644129768,0.3,0.6135,0.0974780691727612,0.0498923096150314,0.632718636058598,0.273584905660377
"722",0.763394512468949,0.449968432774767,0.3,0.681,0.028687427411301,0.0297221030498586,0.604581201871439,0.0998613037447989
"723",0.106287132715806,0.267096779542044,0.3,0.526,0.101458451962088,0.0121179014757782,0.565030161930364,0.428035043804756
"724",0.748941403115168,0.850962229305878,0.3,0.6755,0.148070702833957,0.14025370896948,0.722506598459906,0.400770712909441
"725",0.807911189040169,0.50833908165805,0.3,0.7095,0.0645865148474178,0.0661526001521748,0.653993598311563,0.166666666666667
"726",0.751014570938423,0.966232094215229,0.3,0.646,0.130497782828234,0.148102271204338,0.73294956392045,0.507308684436801
"727",0.805287418654189,0.357670472702011,0.3,0.682,0.0216273129994189,0.0243967006133192,0.594229912165048,0.0309119010819165
"728",0.829857038334012,0.990835506236181,0.3,0.6855,0.151892886107685,0.150792250931016,0.729689867685474,0.42064264849075
"729",0.594284639460966,0.694951774785295,0.3,0.625,0.111093656353926,0.0840056778486338,0.666085526315789,0.394173093401885
"730",0.112106488086283,0.264699622057378,0.3,0.505,0.0868426857087393,0.0138490302828213,0.564117693691741,0.504082743603702
"731",0.132491968106478,0.19032459682785,0.3,0.5235,0.0399008410213162,0.00697401228225403,0.549083879390425,0.438787878787879
"732",0.16842342284508,0.458101728698239,0.3,0.5265,0.122598319351833,0.0402191598263104,0.615405577805051,0.521891418563923
"733",0.642568002687767,0.143091673729941,0.3,0.6365,0.000726744824116899,0.000389448259357272,0.530013033707374,NA
"734",0.00377328111790121,0.978593918960541,0.3,0.495,0.414215485283764,0.166441805727912,0.736694630251672,0.676557863501484
"735",0.0201707920059562,0.472233850741759,0.3,0.518,0.195738263300167,0.0392349469121736,0.612126036537315,0.535031847133758
"736",0.526011542184278,0.774642613483593,0.3,0.61,0.136492620271248,0.112094565826828,0.696033402030575,0.46984126984127
"737",0.403250579722226,0.663275186670944,0.3,0.602,0.144737525828536,0.0829019198491544,0.664746164143755,0.456505576208178
"738",0.0255314600653946,0.916000521508977,0.3,0.498,0.394753155369256,0.158363999718451,0.729316676267281,0.666336633663366
"739",0.331103719538078,0.622998119797558,0.3,0.5685,0.149690602479339,0.0844744216425112,0.667057038454703,0.481927710843373
"740",0.125695742433891,0.100956641836092,0.3,0.54,0.0362954724573885,0.00611604754917905,0.547949812807031,0.076320939334638
"741",0.461551366373897,0.169789019972086,0.3,0.607,0.00863701844093541,0.00493911494832799,0.547890977696921,NA
"742",0.727009847061709,0.82815012242645,0.3,0.6405,0.0944371028312308,0.111765413789227,0.701174743024963,0.431752178121975
"743",0.224923627683893,0.888856585370377,0.3,0.544,0.304287316458957,0.156233530852187,0.727308421828374,0.610981308411215
"744",0.897706965450197,0.383611060446128,0.3,0.698,0.0180386193242557,0.0248107825553749,0.600050300576616,0.0172413793103448
"745",0.287523003527895,0.536718494258821,0.3,0.558,0.143137040905842,0.0704976581068726,0.651596287229702,0.510006455777921
"746",0.178832386853173,0.37873717257753,0.3,0.541,0.10707750168544,0.039821307884952,0.616042638861883,0.476863753213368
"747",0.611671779071912,0.504039022373036,0.3,0.6365,0.0658924279216095,0.0512559713290303,0.636104187920503,0.243128964059197
"748",0.885660113766789,0.536118692718446,0.3,0.694,0.0383208381575587,0.0447160849789144,0.625550169537596,0.105263157894737
"749",0.507051803870127,0.108814145904034,0.3,0.6315,0.00351979528465922,0.00197199151169714,0.532242635413367,NA
"750",0.0734428216237575,0.549274844117463,0.3,0.5115,0.26304414999507,0.0688164897540344,0.648184354188012,0.583075335397317
"751",0.928701159544289,0.570678717689589,0.3,0.7085,0.0432917494313174,0.0522038089412735,0.648372352797701,0.156378600823045
"752",0.746741411508992,0.885349614312872,0.3,0.674,0.101983413434617,0.114745654580993,0.704779460439348,0.41304347826087
"753",0.813109894981608,0.251570695079863,0.3,0.6955,0.00748848724312656,0.00815234624966565,0.55960427847208,NA
"754",0.419910532422364,0.495851575396955,0.3,0.6045,0.0840320515198632,0.0474690965116991,0.627915404726774,0.367514356029532
"755",0.00343607272952795,0.046963555039838,0.3,0.493,0.0202367715765035,0.00138396556946385,0.527400522753381,0.638763197586727
"756",0.619449810823426,0.955133219948038,0.3,0.6395,0.154469157660166,0.160793478942537,0.733622922718746,0.516624040920716
"757",0.199371558846906,0.222814111271873,0.3,0.5375,0.0672673492363403,0.0219657973974239,0.583919495049063,0.421929215822346
"758",0.991447300417349,0.168285622028634,0.3,0.741,0.00391518780172255,0.0055865611342385,0.564308199289053,NA
"759",0.927442428423092,0.602456657215953,0.3,0.705,0.0449364984558693,0.0674494810855754,0.654044137577559,0.218705035971223
"760",0.653198980493471,0.805950412293896,0.3,0.617,0.134879963003647,0.131771945598674,0.715777985997697,0.501240694789082
"761",0.933267378946766,0.666741100605577,0.3,0.705,0.063955167191165,0.0840233064787709,0.684617145541864,0.246753246753247
"762",0.778718797955662,0.209523634286597,0.3,0.684,0.00792877187313213,0.00910495730257355,0.54995135469116,NA
"763",0.145317371701822,0.685187872266397,0.3,0.522,0.298837012207736,0.120734535555835,0.703834564171198,0.608647450110865
"764",0.0454888287931681,0.65145426010713,0.3,0.5245,0.261645035167272,0.0879189140017278,0.669653325323521,0.587086272381986
"765",0.536236190702766,0.362246532924473,0.3,0.622,0.0405980100867068,0.0312730719631514,0.602979862119013,0.191226096737908
"766",0.335861067054793,0.127282074186951,0.3,0.573,0.0170090422018178,0.00594529578502245,0.545791898533103,0.0594059405940594
"767",0.258223806973547,0.0149302484933287,0.3,0.5715,-0.00130943285360066,-0.000356034903654212,0.502226230520483,NA
"768",0.958245476009324,0.510285682044923,0.3,0.7155,0.0164884732317661,0.0238476214251043,0.599009870718174,0.0651465798045603
"769",0.436725949402899,0.416113656712696,0.3,0.608,0.0674979048224169,0.0404971712447735,0.615382525850153,0.315884476534296
"770",0.15296648000367,0.590509376954287,0.3,0.5355,0.183757679798037,0.0545894838229369,0.632199467359741,0.529479768786127
"771",0.241733231348917,0.841502559604123,0.3,0.555,0.245103996741545,0.144762886129726,0.720125466121705,0.601941747572815
"772",0.682936084223911,0.00718756625428796,0.3,0.661,-0.00240827028163179,-0.00228154249892087,0.489942251568368,NA
"773",0.129613713594154,0.690214159432799,0.3,0.541,0.217237328632324,0.0949002044181569,0.679537337138803,0.556427278213639
"774",0.389732197625563,0.0826343237422407,0.3,0.583,0.00183631487647096,0.000959235873990272,0.519921761808172,NA
"775",0.550679307430983,0.516303470823914,0.3,0.6215,0.0819795377585452,0.0542511324737684,0.633407243163341,0.321195144724556
"776",0.532070802757517,0.658753261668608,0.3,0.5965,0.106316308136869,0.0732395314249492,0.659061374716518,0.454823889739663
"777",0.681606806116179,0.86940765590407,0.3,0.652,0.135669970941606,0.122864425577741,0.708475121390003,0.437389770723104
"778",0.0903254542499781,0.0683236361946911,0.3,0.5335,0.0219021433753204,0.00275104889252353,0.535730434861074,0.0227507755946225
"779",0.113986666779965,0.507403039606288,0.3,0.517,0.166592433363599,0.045375796146333,0.622711991783361,0.548800892359175
"780",0.415192840388045,0.376560795586556,0.3,0.611,0.0524057584922393,0.0305294245436819,0.606324876950055,0.151515151515151
"781",0.431377659551799,0.825578579679132,0.3,0.61,0.204408919944653,0.136211527988667,0.716360155155962,0.512635379061372
"782",0.175406859721988,0.778308351524174,0.3,0.5235,0.262381180940711,0.111162044955841,0.690914443666295,0.604651162790698
"783",0.478131903102621,0.0476030092686415,0.3,0.6175,-0.00238969901137617,-0.00129477499897024,0.511825823905351,NA
